City,Country_Code,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed,Temperature_Category,Humidity_Category,Cloudiness_Category
Sombrio,BR,-28.910889129350196,-50.10793899160646,57.06,92,0,2.73,Optimum,Moist,Clear
Suntar,RU,61.64420716078229,118.75209469036122,66.96,66,24,7.76,Optimum,Optimum,Clear
Dwarka,IN,22.176009448093538,68.66801811454113,91.4,46,90,9.17,Hot,Optimum,Cloudy
Newport,US,45.74869071530097,-126.44472754615603,71.6,93,20,5.82,Hot,Moist,Clear
Saint Pete Beach,US,26.14770286951297,-86.37454806246488,86,74,90,4.7,Hot,Optimum,Cloudy
Vestmanna,FO,64.10544214606341,-8.372933630585123,44.6,75,88,31.09,Cold,Optimum,Cloudy
Porto Seguro,BR,-16.753125673734843,-39.09142592645395,71.37,100,92,7.65,Hot,Moist,Cloudy
Paciran,ID,-5.023141912971866,112.40462696528493,83.7,75,76,4.74,Hot,Optimum,Cloudy
Tshikapa,CD,-6.066526952295035,19.61188105061092,66.51,84,0,2.17,Optimum,Moist,Clear
Kandy,LK,7.2249438722206065,80.7863912806763,72.81,99,100,6.08,Hot,Moist,Cloudy
Tefe,BR,-4.837118931513089,-64.50403592482012,73.62,93,8,4.74,Hot,Moist,Clear
Mana,GF,7.6309602371521805,-53.1831553870673,75.69,89,0,3.74,Hot,Moist,Clear
Ocos,GT,10.444486320564934,-95.17235465373861,80.6,83,40,4.63,Hot,Moist,Partly_Cloudy
Paraul,RU,42.79363420573398,47.46259717715793,59,72,0,6.71,Optimum,Optimum,Clear
Tromso,NO,71.83830959027941,17.71672101044541,46.4,93,75,3.36,Cold,Moist,Cloudy
Jeannette,US,40.31539157063136,-79.65710710021604,71.6,100,90,2.39,Hot,Moist,Cloudy
Sept-Iles,CA,49.757731380012814,-65.78715549294134,57.2,58,20,9.17,Optimum,Optimum,Clear
Acarigua,VE,9.761661563433535,-69.09843846492936,77,94,20,2.95,Hot,Moist,Clear
Qasigiannguit,GL,67.75790172568011,-49.3717274620214,51.8,37,0,24.16,Optimum,Optimum,Clear
Valparaiso,CL,-31.63394764008568,-76.35980561244743,46.4,93,0,3.18,Cold,Moist,Clear
Jalu,LY,26.055463723635782,21.32397841020986,77.85,46,20,12.8,Hot,Optimum,Clear
Brandon,US,31.839876998980813,-89.86486483604445,62.6,88,90,13.87,Optimum,Moist,Cloudy
Langxiang,CN,46.35973530264869,128.94858130900514,65.16,64,68,5.53,Optimum,Optimum,Partly_Cloudy
China,MX,19.68506674800433,-90.3138945069357,81.36,76,92,5.3,Hot,Moist,Cloudy
Lavumisa,SZ,-27.55968755047376,33.96596424953378,57.06,95,80,2.51,Optimum,Moist,Cloudy
Los Chiles,CR,10.777564491023128,-84.60879581373256,71.73,100,92,0.6,Hot,Moist,Cloudy
Volax,GR,41.37201887228312,23.907024826955762,69.8,73,20,2.06,Optimum,Optimum,Clear
Magistralnyy,RU,55.53953494493854,107.8194589522052,76.68,59,0,3.29,Hot,Optimum,Clear
Morondava,MG,-20.592626895178142,40.813851590441914,62.73,100,0,4.74,Optimum,Moist,Clear
Alakurtti,RU,66.65161121901221,29.62683322212797,50.31,67,56,6.98,Optimum,Optimum,Partly_Cloudy
Canakkale,TR,40.39680370666778,26.165750062591314,68.76,89,20,7.76,Optimum,Moist,Clear
Aquiraz,BR,-2.5533146543652947,-36.671633958127586,78.8,83,0,5.82,Hot,Moist,Clear
Griffith,AU,-32.95323217397826,145.9913725954595,58.32,100,0,4.63,Optimum,Moist,Clear
Planadas,CO,3.067953307905327,-75.92115175174686,84.2,45,40,5.82,Hot,Optimum,Partly_Cloudy
Ilinskoye-Khovanskoye,RU,56.932498882947385,39.61357829600291,59.31,58,0,14.7,Optimum,Optimum,Clear
Minuri,PH,16.024002339804866,122.31362203978682,87.12,87,0,0.83,Hot,Moist,Clear
Anajatuba,BR,-3.224478403739468,-44.726180589547994,72.54,99,20,4.18,Hot,Moist,Clear
Fuling,CN,30.42628620689345,107.16691654092028,72.36,100,92,4.18,Hot,Moist,Cloudy
Halifax,CA,39.52138099486248,-61.44709150690089,64.4,59,20,6.93,Optimum,Optimum,Clear
Robertsport,LR,5.009623311749536,-12.447683461634341,78.21,100,64,9.89,Hot,Moist,Partly_Cloudy
Horsham,AU,-36.14136902751083,141.84319726815687,50.49,100,8,4.52,Optimum,Moist,Clear
Irbeyskoye,RU,55.045835774516235,96.24093509812155,67.77,68,100,14.25,Optimum,Optimum,Cloudy
Martapura,ID,-4.281753974270728,115.51717149992783,82.35,91,20,3.29,Hot,Moist,Clear
Konevo,RU,62.21031114677663,38.833190709702706,53.6,71,0,8.95,Optimum,Optimum,Clear
Kibungo,RW,-1.9389783484717498,30.757222682804723,62.91,90,92,1.5,Optimum,Moist,Cloudy
Salmon Arm,CA,50.9832499903942,-119.25522653400664,76.14,32,8,1.61,Hot,Dry,Clear
Norton Shores,US,43.10535325651972,-86.96454855855008,71.6,82,1,3.85,Hot,Moist,Clear
Conde,BR,-12.450210025182955,-36.246353978267706,71.91,100,88,7.09,Hot,Moist,Cloudy
Tazovskiy,RU,69.24433278387704,77.00003611477052,65.97,72,12,15.7,Optimum,Optimum,Clear
Monrovia,LR,0.6655077306350989,-14.058093185046062,75.2,94,75,5.3,Hot,Moist,Cloudy
Carroll,US,41.91916131735883,-95.33490555996323,71.6,88,90,13.87,Hot,Moist,Cloudy
Diego De Almagro,CL,-26.12922912763748,-68.83487714448232,47.79,88,0,2.17,Cold,Moist,Clear
Mumford,GH,-0.954810822362191,1.0911152376180837,75.15,89,76,9.22,Hot,Moist,Cloudy
Stjordalshalsen,NO,63.75562625108009,10.757295291283384,46.4,87,75,6.93,Cold,Moist,Cloudy
Ponta Delgada,PT,29.299658504845013,-26.59726132212745,68,88,20,5.82,Optimum,Moist,Clear
Zhuzhou,CN,27.910116244074842,112.88149240202404,78.8,83,90,2.24,Hot,Moist,Cloudy
Tombouctou,ML,16.1750207678067,-2.2475798358030374,95.49,14,88,10.45,Hot,Dry,Cloudy
Pilar De La Horadada,ES,37.88888819897839,-0.7509444067624429,71.6,78,0,4.7,Hot,Moist,Clear
Khovu-Aksy,RU,50.75682170026141,93.41212226974386,66.69,61,48,2.17,Optimum,Optimum,Partly_Cloudy
Truro,CA,45.40198740376371,-63.38813837627964,64.4,48,20,9.17,Optimum,Optimum,Clear
Samdari,IN,26.0362015764443,72.49463148334843,90.36,49,0,11.9,Hot,Optimum,Clear
Chapais,CA,51.907771650069435,-75.34942288734493,48.2,45,90,8.05,Cold,Optimum,Cloudy
Killybegs,IE,58.14589385498604,-10.85514766158252,51.39,96,68,14.81,Optimum,Moist,Partly_Cloudy
Gedo,ET,8.781502173967866,37.07322482769936,55.26,98,92,2.95,Optimum,Moist,Cloudy
Sidi Ali,DZ,37.08123479129058,0.9876331875535698,60.75,87,0,2.39,Optimum,Moist,Clear
Puerto Ayacucho,VE,4.730185133120244,-67.30851027555627,70.56,98,44,0.16,Hot,Moist,Partly_Cloudy
Meadow Lake,CA,56.40866834395925,-108.51923741118361,79.83,32,0,5.19,Hot,Dry,Clear
Durban,ZA,-30.06964453965813,31.309369880235522,69.48,100,0,18.28,Optimum,Moist,Clear
Zafra,ES,38.38899752497204,-6.588235691710793,66.33,75,44,3.06,Optimum,Optimum,Partly_Cloudy
Rio Gallegos,AR,-51.685347827762065,-70.34953061723918,35.6,93,0,23.04,Cold,Moist,Clear
Ati,TD,12.736579402049117,17.989882747255393,70.2,96,48,6.76,Hot,Moist,Partly_Cloudy
Tucurui,BR,-3.592968081888557,-50.796184576126876,72.09,94,20,2.17,Hot,Moist,Clear
Boyuibe,BO,-20.957885873714574,-62.727679579447255,66.87,64,0,13.02,Optimum,Optimum,Clear
Severobaykalsk,RU,56.46397678138257,108.6445545406009,67.68,69,0,1.72,Optimum,Optimum,Clear
Monte Patria,CL,-30.850778781451993,-69.86272569271992,30.06,88,0,1.28,Cold,Moist,Clear
Elko,US,40.05664196527911,-115.22795585047857,87.8,14,1,3.36,Hot,Dry,Clear
Ilabaya,PE,-17.5609184270954,-70.31905853572671,51.84,76,8,1.83,Optimum,Moist,Clear
Arroyos Y Esteros,PY,-25.03259330926909,-57.02845524100199,68,82,0,6.93,Optimum,Moist,Clear
